1 	 7796577
1 	 16257198
1 	 19492180
1 	 26316080
1 	 28802736
1 	 117307142
1 	 157665161
1 	 158609792
1 	 159410055
1 	 183909896
1 	 186919850
1 	 196251457
1 	 226032855
1 	 228594153
1 	 245530228
1 	 248436784
2 	 27279585
2 	 37406692
2 	 48915246
2 	 118575055
2 	 131799020
2 	 138421065
2 	 165986535
2 	 234680937
3 	 52440271
3 	 98251631
3 	 167750549
3 	 167750550
3 	 186917436
4 	 57832814
4 	 75066975
4 	 177094486
5 	 306875
5 	 43505984
5 	 138266183
6 	 16274679
6 	 31675840
6 	 31928820
6 	 33173308
6 	 33245735
6 	 71298364
6 	 74104706
6 	 84649777
6 	 118953760
6 	 139241377
7 	 23313716
7 	 139611040
7 	 147869463
7 	 150742297
8 	 12586437
8 	 22582427
8 	 26722369
8 	 133047085
8 	 144671416
9 	 33290591
9 	 37740240
10 	 373080
10 	 27350088
10 	 35625985
10 	 50340313
10 	 99439569
10 	 100453668
10 	 108589389
11 	 3700902
11 	 9462073
11 	 47433556
11 	 48177543
11 	 57982898
11 	 61018669
11 	 64884765
11 	 64884951
11 	 93431364
12 	 11061452
12 	 57849504
12 	 75719077
12 	 80190722
12 	 122622844
13 	 110814694
14 	 44974970
14 	 64416684
14 	 69521390
14 	 100801263
15 	 77906464
16 	 18823324
17 	 7847801
17 	 18140208
17 	 26094863
17 	 34062357
18 	 34273273
18 	 46287854
18 	 72998988
19 	 17476629
19 	 19243498
19 	 19243499
19 	 22362951
19 	 36212540
19 	 44933826
19 	 50958539
20 	 8719928
22 	 42526670
X 	 53654408
X 	 54823405
X 	 57935515
X 	 71494974
X 	 84362584
X 	 91132783
X 	 100608962
X 	 114880798
